Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI)
Microcoleus sp. D2_18a_D3,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. D2_18a_D3],🟢 Confirmed,WP_333436072.1
Microcoleus sp. D2_18a_D3,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. D2_18a_D3],🟢 Confirmed,WP_333434606.1
Microcoleus sp. MON2_D5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. MON2_D5],🟢 Confirmed,WP_333432690.1
Microcoleus sp. MON2_D5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. MON2_D5],🟢 Confirmed,WP_333430274.1
Microcoleus sp. F4-D5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. F4-D5],🟢 Confirmed,WP_333428008.1
Microcoleus sp. F4-D5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. F4-D5],🟢 Confirmed,WP_333423308.1
Microcoleus sp. MOSTC5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. MOSTC5],🟢 Confirmed,WP_333416621.1
Microcoleus sp. MOSTC5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. MOSTC5],🟢 Confirmed,WP_333415236.1
Microcoleus sp. T2B6,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. T2B6],🟢 Confirmed,WP_333410224.1
Microcoleus sp. T2B6,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. T2B6],🟢 Confirmed,WP_333408673.1
Microcoleus sp. MON1_C1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. MON1_C1],🟢 Confirmed,WP_333405859.1
Microcoleus sp. N9_A1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. N9_A1],🟢 Confirmed,WP_333397263.1
Microcoleus sp. AT8-B4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. AT8-B4],🟢 Confirmed,WP_333395511.1
Microcoleus sp. N9_A1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. N9_A1],🟢 Confirmed,WP_333393484.1
Microcoleus sp. B6-A1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. B6-A1],🟢 Confirmed,WP_333392236.1
Microcoleus sp. Z1_A1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Z1_A1],🟢 Confirmed,WP_333392093.1
Microcoleus sp. POL10_C6,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. POL10_C6],🟢 Confirmed,WP_333388482.1
Microcoleus sp. POL10_C6,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. POL10_C6],🟢 Confirmed,WP_333385027.1
Microcoleus sp. T3_D1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. T3_D1],🟢 Confirmed,WP_333378356.1
Microcoleus sp. N9_B4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. N9_B4],🟢 Confirmed,WP_333376384.1
Microcoleus sp. N9_B4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. N9_B4],🟢 Confirmed,WP_333375900.1
Microcoleus sp. Z1_B2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Z1_B2],🟢 Confirmed,WP_333374583.1
Microcoleus sp. Z1_B2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Z1_B2],🟢 Confirmed,WP_333373317.1
Microcoleus sp. AT3-D2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. AT3-D2],🟢 Confirmed,WP_333373223.1
Microcoleus sp. AT3-D2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. AT3-D2],🟢 Confirmed,WP_333366791.1
Microcoleus sp. N3A4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. N3A4],🟢 Confirmed,WP_333360054.1
Microcoleus sp. N3A4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. N3A4],🟢 Confirmed,WP_333358618.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333350185.1
Microcoleus sp. B3-A4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. B3-A4],🟢 Confirmed,WP_333349973.1
Microcoleus sp. B3-A4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. B3-A4],🟢 Confirmed,WP_333348837.1
Microcoleus sp. w1-18aA5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. w1-18aA5],🟢 Confirmed,WP_333347393.1
Microcoleus sp. w1-18aA5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. w1-18aA5],🟢 Confirmed,WP_333345823.1
Microcoleus sp. T3B2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. T3B2],🟢 Confirmed,WP_333341335.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333340237.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333340026.1
Microcoleus sp. BROC3,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. BROC3],🟢 Confirmed,WP_333339521.1
Microcoleus sp. BROC3,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. BROC3],🟢 Confirmed,WP_333339445.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333334681.1
Microcoleus sp. LAD1_D3,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. LAD1_D3],🟢 Confirmed,WP_333331240.1
Microcoleus sp. T3_A4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. T3_A4],🟢 Confirmed,WP_333329912.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333322969.1
Microcoleus sp. D3_18a_C4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. D3_18a_C4],🟢 Confirmed,WP_333321315.1
Microcoleus sp. B4-C1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. B4-C1],🟢 Confirmed,WP_333319016.1
Microcoleus sp. D3_18a_C4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. D3_18a_C4],🟢 Confirmed,WP_333317944.1
Microcoleus sp. Z1_B5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Z1_B5],🟢 Confirmed,WP_333314036.1
Microcoleus sp. Z1_B5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Z1_B5],🟢 Confirmed,WP_333313095.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333312078.1
Microcoleus sp. B7-D4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. B7-D4],🟢 Confirmed,WP_333307035.1
Microcoleus sp. B7-D4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. B7-D4],🟢 Confirmed,WP_333305809.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333304000.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333302081.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333298219.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333294045.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333290883.1
Microcoleus sp. D2_18a_B4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. D2_18a_B4],🟢 Confirmed,WP_333289632.1
Microcoleus sp. D2_18a_B4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. D2_18a_B4],🟢 Confirmed,WP_333285647.1
Microcoleus sp. MON1_C5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. MON1_C5],🟢 Confirmed,WP_333283458.1
Microcoleus sp. MON1_C5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. MON1_C5],🟢 Confirmed,WP_333281913.1
Microcoleus sp. D3_18_C2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. D3_18_C2],🟢 Confirmed,WP_333272861.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333264257.1
Microcoleus sp. S13_C5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. S13_C5],🟢 Confirmed,WP_333262147.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333260323.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333259260.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333259168.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333256555.1
Microcoleus sp. S13_C5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. S13_C5],🟢 Confirmed,WP_333255900.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333250337.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333249401.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333248124.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333242530.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333241938.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333240778.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333234723.1
Microcoleus sp. AT9_A2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. AT9_A2],🟢 Confirmed,WP_333233700.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333231748.1
Microcoleus sp. Pol12B5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol12B5],🟢 Confirmed,WP_333228258.1
Microcoleus sp. BR0-C5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. BR0-C5],🟢 Confirmed,WP_333225091.1
Microcoleus sp. BR0-C5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. BR0-C5],🟢 Confirmed,WP_333224453.1
Microcoleus sp. Pol12A5,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol12A5],🟢 Confirmed,WP_333222466.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333219174.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333214497.1
Microcoleus sp. S36b_A4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. S36b_A4],🟢 Confirmed,WP_333214459.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333213283.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333211203.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333208202.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333206324.1
Microcoleus sp. S28C3,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. S28C3],🟢 Confirmed,WP_333204198.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333202959.1
Microcoleus sp. S28C3,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. S28C3],🟢 Confirmed,WP_333202484.1
Microcoleus sp. Pol7_A1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol7_A1],🟢 Confirmed,WP_333187348.1
Microcoleus sp. Pol7_A1,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol7_A1],🟢 Confirmed,WP_333185804.1
Microcoleus sp. B3-D7,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. B3-D7],🟢 Confirmed,WP_333182293.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333179524.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333174245.1
Microcoleus sp. S13_B4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. S13_B4],🟢 Confirmed,WP_333173347.1
Microcoleus sp. Pol12B4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol12B4],🟢 Confirmed,WP_333164781.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333160290.1
Microcoleus sp. AT3-A2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. AT3-A2],🟢 Confirmed,WP_333160020.1
Microcoleus sp. Pol12B4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol12B4],🟢 Confirmed,WP_333159524.1
Microcoleus sp. B9-D4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. B9-D4],🟢 Confirmed,WP_333157043.1
Microcoleus sp. B9-D4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. B9-D4],🟢 Confirmed,WP_333154340.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333147350.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333146870.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333144388.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333138297.1
Microcoleus sp. Pol11C2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol11C2],🟢 Confirmed,WP_333138186.1
Microcoleus sp. Pol11C2,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol11C2],🟢 Confirmed,WP_333137502.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333132019.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333125920.1
Microcoleus sp. Pol11C3,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol11C3],🟢 Confirmed,WP_333124560.1
Microcoleus sp. Pol11C3,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. Pol11C3],🟢 Confirmed,WP_333121085.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333107873.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333103950.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333097187.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333097049.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333083210.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333081844.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333077197.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333074844.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333068175.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333067878.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333064901.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333060170.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333056654.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333053729.1
Microcoleus sp. S13C4,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. S13C4],🟢 Confirmed,WP_333047632.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333045708.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333035810.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333035409.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333029107.1
unclassified Microcoleus,beta-galactosidase,3.2.1.23,lactose,MULTISPECIES: glycoside hydrolase family 2 protein [unclassified Microcoleus],🟢 Confirmed,WP_333025752.1
Microcoleus sp. AR_TQ3_B6,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. AR_TQ3_B6],🟢 Confirmed,WP_332956877.1
Microcoleus sp. AR_TQ3_B6,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus sp. AR_TQ3_B6],🟢 Confirmed,WP_332956368.1
Microcoleus vaginatus,beta-galactosidase,3.2.1.23,lactose,glycoside hydrolase family 2 protein [Microcoleus vaginatus],🟢 Confirmed,WP_190745874.1
